,filename,domain,Complexity,Aesthetics,Orderliness,VA_PNG,VA_JPEG ,elements,elem. types,visual complex,edge congestion,unique RGB,HSVcolours (avg Hue),HSVcolours (avg Saturation),HSVcolours (std Saturation),HSVcolours (avg Value),HSVcolours (std Value),HSVspectrum (HSV),HSVspectrum (Hue),HSVspectrum (Saturation),HSVspectrum (Value),Hassler-Susstrunk (dist A),Hassler-Susstrunk (std A),Hassler-Susstrunk (dist B),Hassler-Susstrunk (std B),Hassler-Susstrunk (dist RGYB),Hassler-Susstrunk (std RGYB),Hassler-Susstrunk (Colorfulness),Static clusters,DynamicCC (clusters),DynamicCC (avg cluster colors),QuadtreeDec (balance),QuadtreeDec (symmetry),QuadtreeDec (equilibrium),QuadtreeDec (leaves),whitespace,grid quality,edge density,LABcolours (mean Lightness),LABcolours (std Lightness),LABcolours (mean A),LABcolours (std A),LABcolours (mean B),LABcolours (std B),Luminance std,FG contrast,pixel symmetry
1322,foreign-40.png,foreign,4.8333,2,2.3333,308313,707888,19,3,585.22,0.306320268,4390,2.452319114,0.134183158,0.253507006,0.755757251,0.301504363,6298,15919,16048,256,14.18330383,32.95908072,9.876141866,25.32795792,17.28306355,41.56689133,46.75181039,2963,297,11,0.815528817,0.574554249,0.999771062,2548,0.192319234,66,0.201396942,72.90989013,31.88831099,5.296149199,13.96742494,2.350589303,12.33057355,84.77975327,1.134556472,0.411127048
1323,foreign-41.png,foreign,5,3,2.6,303404,528925,32,6,1572.71,0.293235392,5052,355.2999514,0.128215087,0.240127603,0.825691288,0.261855916,5881,15655,17502,256,14.39056651,33.21306764,10.54126231,23.12177471,17.83834677,40.46880685,45.82031088,3272,246,12,0.88209093,0.539611439,0.999734123,2194,-0.185553233,185,0.143234253,79.72486455,29.16096926,3.838154033,13.65893106,2.495176974,11.83567287,79.34604295,0.996101145,0.347856355
1324,foreign-42.png,foreign,3.5714,2.5714,3.8571,375316,634421,51,7,2759.71,0.289274829,3654,4.429657298,0.066246773,0.167233471,0.913476712,0.185967233,4413,16470,18267,256,6.308461507,21.91151981,8.088320414,19.96479412,10.25756373,29.64300431,32.72027343,3578,158,14,0.668245378,0.613882581,0.999699158,1939,0.14098231,103,0.151596069,90.21042208,19.80556529,0.050505477,8.257324263,1.992608337,10.59521007,53.80497765,0.886797873,0.44424369
1325,foreign-43.png,foreign,4.5,2.1667,2.6667,554177,814981,44,4,1728,0.372569933,5926,353.5163968,0.283789009,0.375887261,0.834304261,0.235582567,7924,28391,21073,256,43.22740555,66.16211233,26.14947573,37.32420833,50.52131898,75.96394957,91.12034527,5917,321,12,0.921379805,0.619185766,0.999816965,3187,0.249315898,146,0.187124888,76.10562274,28.32109595,7.707038257,24.97505526,6.219565066,20.30039673,84.22734121,1.03962539,0.632667879
1326,foreign-44.png,foreign,3,2.875,3.625,535495,645253,31,4,1196.57,0.24678388,8888,272.4050311,0.107600927,0.187987238,0.843147283,0.244576121,9978,10652,16928,256,9.158631643,15.380396,11.64178658,19.53861608,14.81255306,24.86592246,29.30968838,2869,506,12,0.914921113,0.634220443,0.999807544,3031,0.449965159,107,0.15603892,82.21564679,25.91508761,-0.043063648,4.233895518,-1.65262343,9.492206337,67.68160508,0.996730605,0.677201645
1327,foreign-45.png,foreign,4,2.5,3,291071,481171,27,5,1183.39,0.190955132,6566,1.473051581,0.204569618,0.324230017,0.931956517,0.146203456,8605,18332,18521,256,17.42222722,34.75564034,34.00354322,63.6244197,38.20700136,72.49842286,83.96052327,2996,417,11,0.728820887,0.617309234,0.999774252,2584,-0.095232646,163,0.138331095,88.2271595,18.99469938,4.580488693,13.81779831,9.317179569,28.93718168,54.58491992,1.035335689,0.517092592
1328,foreign-46.png,foreign,2,4.6667,5.6667,61201,248038,41,2,734.73,0.426608267,545,2.829796511,0.018241015,0.090068969,0.983969171,0.088411173,1754,5986,9509,256,2.588443756,10.82849527,1.561747869,11.20091998,3.023094025,15.57937477,16.48630298,936,68,17,0.328314816,0.505567737,0.999352571,901,0.886244456,117,0.051738739,98.23928281,8.936621773,-1.135352687,5.191783644,0.889035037,5.684451955,24.2929355,1.033930312,1.956383431
1329,foreign-47.png,foreign,4.8,3.8,4,232368,635276,48,4,1850.59,0.295015041,2465,356.4102706,0.152149972,0.244221012,0.896223754,0.234082297,7590,21178,17677,256,18.9534963,35.57843246,19.17355474,32.51574439,26.96034538,48.19853203,56.28663564,3267,362,13,0.750679552,0.533728317,0.999751138,2344,0.615146637,153,0.130377452,85.37353853,24.47378348,0.938918511,12.66458391,-0.147361819,15.41998021,65.31150473,0.969994942,0.684178863
1330,foreign-48.png,foreign,4.8,2.1,3.3,255701,593185,42,6,2082.14,0.355687142,2740,12.8838649,0.107670905,0.269355901,0.894748523,0.206263553,4907,12951,14487,256,12.05412674,37.95122877,8.135356267,18.94530942,14.542558,42.41721955,46.77998694,2278,207,14,0.636789272,0.553461737,0.999705089,1978,0.512330373,190,0.13879776,88.29151025,21.72492841,-1.282771412,15.99773662,3.972364123,11.63171808,61.5788492,0.999059343,0.518085852
1331,foreign-49.png,foreign,5,2.5714,3.7143,468797,780624,49,5,2227.05,0.33302425,9774,3.094027957,0.144148778,0.231006686,0.77345978,0.264916283,11216,16037,17295,256,11.6746699,23.76788214,15.90283585,28.46041996,19.72810445,37.07974819,42.99817953,3426,463,13,0.882301042,0.596473654,0.999803061,2962,0.35578537,161,0.193172455,74.51560148,28.06142198,0.200859752,8.042940309,-2.652152252,14.38780313,74.69276526,1.016224011,0.543095426
1332,foreign-5.png,foreign,4.4286,3.1429,3.5714,424757,550437,51,6,2514.09,0.313381156,8456,16.3625466,0.145237235,0.273776977,0.818227706,0.298385353,7665,14929,18368,256,8.854368846,22.93799094,13.80798276,29.85479296,16.40305568,37.64917118,42.57008789,3691,360,12,0.889300593,0.631543477,0.99971335,2035,0.514681498,159,0.138196309,79.86194947,31.30622322,1.858910039,8.298365616,5.627558973,14.29483585,81.81849034,1.032015555,0.928982001
1333,foreign-50.png,foreign,2.6667,3.8333,4.5,62528,180966,18,4,628.75,0.304733728,500,0.337683673,0.002851194,0.029677026,0.951518763,0.138118286,726,3540,3423,256,0.393381755,4.297763916,0.455661774,4.691816043,0.601977455,6.362696949,6.543290185,307,28,12,-0.336734694,0.50353772,0.99433657,103,0.806741079,75,0.050783793,95.40171782,13.07707226,0.061613112,1.410471993,0.168445077,2.001381102,35.48264421,0.975774101,0.915667361
1334,foreign-51.png,foreign,5.6,2.2,2,339866,669128,46,5,2066.95,0.293997033,3541,355.9953643,0.261136783,0.337912911,0.777135642,0.305539761,6787,21708,19164,256,27.20047633,41.92969411,17.77785556,33.90606675,32.49489284,53.92328449,63.67175234,4909,329,11,0.883624251,0.611445147,0.999795609,2854,0.272112528,134,0.164260864,72.10558774,32.55339439,4.9689761,19.17433221,-0.172566312,16.52860692,86.04272531,0.975376197,0.371175546
1335,foreign-52.png,foreign,4.8333,2.5,2.6667,321014,638618,55,5,2462.76,0.34144233,5198,1.108523851,0.211553821,0.363208039,0.835460778,0.23861572,8078,8740,15659,256,20.04512914,35.93216218,23.54244804,42.03832121,30.9201239,55.30226694,64.57830411,1982,377,12,0.778474052,0.572217359,0.999727032,2137,0.45794932,122,0.136756897,79.13220822,28.29339981,-0.352569081,3.178184016,-6.827905211,16.56911825,78.01418831,1.029178587,0.643593404
1336,foreign-53.png,foreign,4.5,3.3333,4.1667,520524,669173,30,6,1500.73,0.254422791,10324,20.72831393,0.272307672,0.357735817,0.760867689,0.311557288,10437,18332,19417,256,15.61877441,28.05287028,23.61167526,36.6264185,28.3100216,46.135215,54.62822147,4949,478,11,0.836008505,0.530985843,0.999748563,2320,0.487051646,55,0.126454671,73.37552197,32.99144612,-2.798228607,7.323049295,2.26552205,18.83755096,87.12219682,1.013296642,0.789744911
1337,foreign-54.png,foreign,4.4,2,3,555643,850349,50,6,2545.89,0.420687247,5740,358.4848734,0.131810265,0.243715163,0.894376862,0.169801333,7538,29707,21130,256,14.43102264,29.2246644,18.21044413,37.61954325,23.23520368,47.63728628,54.60784738,5547,313,15,0.920097108,0.610174004,0.99980562,3001,0.391789754,257,0.207012177,86.15862213,19.90793351,1.554718152,12.56743403,2.039697087,18.38120546,55.72114324,1.015016218,0.385768756
1338,foreign-55.png,foreign,5.4,2,3.4,560136,806821,41,4,1608.99,0.352681506,7760,26.77165144,0.26175001,0.358060729,0.828233966,0.229334422,7908,28503,20637,256,24.8300209,42.76400344,25.89526431,42.91010146,35.8761014,60.58082863,71.34365905,5931,348,12,0.84366377,0.614645238,0.999787105,2740,0.421510061,140,0.180421193,78.82903859,26.94364622,-3.225694395,18.85718817,7.238109063,23.26901935,74.55896965,1.043842043,0.503797012
1339,foreign-56.png,foreign,3.375,2.75,4.25,427320,713764,26,5,1173.9,0.42477301,5950,49.72728545,0.188191,0.285085573,0.883650816,0.180552105,8742,25903,20458,256,22.60002009,40.81719244,19.24858284,32.10227314,29.6861727,51.92878911,60.83464092,5063,421,10,0.822390826,0.590075677,0.99976916,2527,0.308588664,41,0.149408976,86.18141245,19.46850455,-7.203825613,18.6329873,10.29912164,18.29418534,53.97728704,1.117981433,0.661247168
1340,foreign-57.png,foreign,4,2.7143,2.8571,627346,786841,25,5,1136.92,0.291091307,8069,3.006078155,0.28572791,0.368123208,0.80156237,0.289323787,9693,27984,20813,256,37.13750458,60.23044532,30.81706619,44.31554584,48.25853101,74.77682894,89.25438824,5480,496,12,0.876777989,0.597444198,0.999788033,2752,0.342938741,103,0.183087667,71.43334755,31.54593947,10.88359746,22.94159117,7.028855236,23.26737068,86.02165503,1.001955821,0.604778637
1341,foreign-58.png,foreign,4,3.25,3.5,248558,356983,,,,0.276376845,3159,6.983199706,0.057346546,0.193735914,0.945678576,0.144342818,3005,10324,15193,256,4.071107229,13.8419465,8.190889359,29.02492254,9.146834564,32.1565796,34.90062997,1932,131,13,0.628748938,0.575356125,0.999470659,1102,0.450387319,88,0.079449972,94.35392888,14.76588285,-2.296717579,8.859779037,3.689151113,14.57683213,40.32266738,0.949191848,0.765995772
1342,foreign-59.png,foreign,5.8571,2.2857,2.5714,505824,850076,68,5,3110.02,0.289713489,5558,0.683977308,0.202156124,0.313352257,0.886971647,0.19686645,6238,28819,21267,256,28.21822611,46.40766989,24.89648438,44.57286062,37.63114693,64.34603117,75.63537525,6584,235,13,0.877835113,0.629376863,0.99981128,3091,0.200799306,159,0.189345042,82.73112617,23.25073502,4.686660281,15.94594521,2.215102841,20.14406291,65.86614133,1.006588621,0.464229669
1343,foreign-6.png,foreign,5.6,2.8,2.6,410135,658462,,,,0.268976854,7576,30.97139436,0.364972842,0.405819108,0.77357822,0.267480266,8458,28014,20647,256,27.69602076,42.31996198,54.10899417,70.84253285,60.78530098,82.52056496,100.7561553,5696,352,11,0.911640788,0.609353924,0.99981201,3103,0.300169627,65,0.171141307,73.22445569,27.02769717,-4.83995882,17.7990386,17.89393807,33.12208338,73.0722394,0.991317014,0.327858738
1344,foreign-7.png,foreign,5,2.5,3.5,495286,733483,,,,0.293710207,6321,7.027058608,0.257291086,0.323928923,0.860378894,0.21800992,7700,29920,21543,256,37.59203847,54.15050906,25.65679677,34.17102565,45.5129935,64.0307475,77.68464555,6880,325,12,0.842589886,0.591762235,0.999797945,2887,-0.148452759,97,0.160025279,77.69504604,27.00414674,12.10883536,21.32815765,10.01453712,16.73406876,77.09569218,0.974824889,0.494600419
