,filename,domain,Complexity,Aesthetics,Orderliness,VA_PNG,VA_JPEG,elements,elem. types,visual complex,edge congestion,unique RGB,HSVcolours (avg Hue),HSVcolours (avg Saturation),HSVcolours (std Saturation),HSVcolours (avg Value),HSVcolours (std Value),HSVspectrum (HSV),HSVspectrum (Hue),HSVspectrum (Saturation),HSVspectrum (Value),Hassler-Susstrunk (dist A),Hassler-Susstrunk (std A),Hassler-Susstrunk (dist B),Hassler-Susstrunk (std B),Hassler-Susstrunk (dist RGYB),Hassler-Susstrunk (std RGYB),Hassler-Susstrunk (Colorfulness),Static clusters,DynamicCC (clusters),DynamicCC (avg cluster colors),QuadtreeDec (balance),QuadtreeDec (symmetry),QuadtreeDec (equilibrium),QuadtreeDec (leaves),whitespace,grid quality,count
1154,www-campbells-com-.png,food,3.8,5.0,5.4,1218519,1741252.0,11.0,4.0,456.1,0.781057613,26801.0,11.92445768,0.30083629300000003,0.302157807,0.681409307,0.281314828,24291.0,12938.0,17991.0,256.0,31.32757205,43.88155666,23.72951085,22.70035173,39.30020936,49.40543476,61.19549757,3393.0,1236.0,13.0,0.9172007390000001,0.655936617,0.999836469,3703.0,0.337611979,28.0,5
1155,sweetpotatosoul-com-.png,food,3.5,3.75,3.75,680852,631093.0,11.0,3.0,335.92,0.208203251,7739.0,5.623942842000001,0.214392385,0.33880209,0.788751515,0.28474579,6661.0,19903.0,19015.0,256.0,26.04274653,50.47924387,21.08835851,34.57273123,33.51034932,61.1835583,71.23666309999999,4953.0,280.0,11.0,0.78006426,0.577621776,0.999721366,2173.0,0.494607639,64.0,4
1157,www-cajuncookingrecipes-com-.png,food,4.25,3.0,3.0,342537,602248.0,41.0,5.0,1827.82,0.360082588,2993.0,2.868731481,0.10377467300000001,0.238812146,0.937229095,0.139032121,3642.0,16324.0,20178.0,256.0,12.92965104,32.0524093,12.00806771,30.95360421,17.64566706,44.55875397,49.85245408,3791.0,123.0,15.0,0.682124552,0.5879959570000001,0.9996602309999999,1783.0,0.69840625,123.0,4
1158,thebigmansworld-com-.png,food,2.25,3.75,4.5,1011016,731597.0,13.0,3.0,401.39,0.158001542,22514.0,15.47526448,0.167092206,0.241583963,0.7708398590000001,0.277692708,24822.0,11669.0,19291.0,256.0,13.46655816,21.48007555,15.87857595,24.80906092,20.82011919,32.81589781,39.06193357,2789.0,1252.0,13.0,0.702071062,0.608354453,0.9997785090000001,2734.0,0.504981771,45.0,4
1159,charlotteslivelykitchen-com-.png,food,4.0,5.5,4.5,356103,391239.0,8.0,4.0,297.24,0.205771029,2976.0,3.06694029,0.041422925,0.150571999,0.948925534,0.166605022,3523.0,12286.0,17374.0,256.0,2.921820313,11.95898111,5.619792969,20.63503953,6.333964552,23.84999131,25.75018068,2651.0,150.0,13.0,-0.18893321899999999,0.487714217,0.9991809159999999,739.0,0.6798454859999999,120.0,4
1160,www-ketoconnect-net-.png,food,3.75,5.5,5.75,667851,620411.0,69.0,5.0,3082.96,0.21967921399999998,10529.0,358.8992847,0.08752564199999999,0.193321015,0.8087359409999999,0.311078148,11718.0,14080.0,18518.0,256.0,4.145422743,11.04087209,7.507236545,22.7558033,8.575729139,25.29283377,27.86555251,3213.0,582.0,12.0,0.427019666,0.564963998,0.999594132,1492.0,0.620751736,114.0,4
1161,www-hellofresh-co-uk-.png,food,2.25,5.5,4.75,1354159,960855.0,15.0,5.0,692.19,0.17335164399999997,12662.0,347.9904307,0.17187873,0.28450631,0.775896334,0.24566272100000003,8379.0,27103.0,21604.0,255.0,14.43248351,29.04218792,20.76327734,38.25196894,25.28656296,48.02771916,55.61368804,7452.0,393.0,12.0,0.5333212860000001,0.6344227339999999,0.999702471,2035.0,-0.040317708,92.0,4
1162,civilizedcaveman-com-.png,food,3.0,3.0,3.75,649051,599908.0,13.0,3.0,395.49,0.287936442,9834.0,9.957941529,0.26170984,0.324739031,0.503919342,0.405449031,6119.0,10666.0,13127.0,256.0,16.84254688,38.8634669,16.17354774,31.85762985,23.350696600000003,50.25214064,57.25734962,1579.0,324.0,13.0,0.925094938,0.614792688,0.999784883,2815.0,0.276709201,64.0,4
1163,omnivorescookbook-com-.png,food,5.25,6.25,5.0,892511,741526.0,8.0,4.0,312.0,0.149052367,9353.0,2.332687296,0.140967462,0.271118208,0.8246176129999999,0.274272061,12036.0,22873.0,21368.0,256.0,9.681517361000001,20.82587969,13.04163715,30.31312471,16.24241602,36.77774864,41.65047344,5017.0,577.0,12.0,0.529928348,0.550198131,0.9996802770000001,1894.0,0.556722222,42.0,4
1164,www-lavenderandlovage-com-.png,food,2.75,5.25,4.0,957847,776243.0,12.0,6.0,606.93,0.21609820600000001,7907.0,18.9782336,0.189424906,0.24666011,0.8295537000000001,0.251083233,6890.0,19475.0,20004.0,256.0,8.912128472000001,17.97526148,25.40429253,32.84575271,26.92218626,37.44266946,45.51932534,5576.0,334.0,10.0,0.8327288909999999,0.6032566189999999,0.9997088679999999,2080.0,0.475092014,48.0,4
